2020-10-09, 13:08:54, 436000000, 436050000, 6250.00, 328776, -2.95, 0.09, -3.49, -4.63, -1.11, -1.11, -2.64, -4.64, -4.64, 4124.63090, 00212.91974, 3.9, 1
2020-10-09, 13:08:55, 436000000, 436050000, 6250.00, 326648, -3.39, -0.22, -4.10, -4.98, -0.82, -0.82, -2.71, -4.69, -4.69, 4124.62987, 00212.91565, 4.0, 1
2020-10-09, 13:08:56, 436000000, 436050000, 6250.00, 330904, -3.59, 0.50, -3.80, -4.39, -0.69, -0.69, -2.72, -4.54, -4.54, 4124.62860, 00212.91064, 4.2, 1
2020-10-09, 13:08:57, 436000000, 436050000, 6250.00, 329840, -4.49, 0.54, -4.70, -5.23, -1.83, -1.83, -3.77, -5.27, -5.27, 4124.62719, 00212.90506, 4.2, 1
2020-10-09, 13:08:58, 436000000, 436050000, 6250.00, 331968, -4.15, 0.05, -4.18, -4.77, -0.90, -0.90, -2.92, -4.71, -4.71, 4124.62568, 00212.89898, 4.4, 1
2020-10-09, 13:08:59, 436000000, 436050000, 6250.00, 328776, -3.56, 0.17, -4.15, -5.14, -1.43, -1.43, -3.47, -5.17, -5.17, 4124.62397, 00212.89210, 4.5, 1
2020-10-09, 13:09:00, 436000000, 436050000, 6250.00, 334096, -3.73, -0.13, -4.41, -5.30, -1.45, -1.45, -3.12, -5.11, -5.11, 4124.62212, 00212.88439, 4.9, 1
2020-10-09, 13:09:01, 436000000, 436050000, 6250.00, 325584, -3.95, 0.44, -4.08, -5.12, -1.23, -1.23, -3.29, -5.01, -5.01, 4124.62008, 00212.87585, 4.8, 1
2020-10-09, 13:09:02, 436000000, 436050000, 6250.00, 329840, -6.68, 1.20, -6.31, -7.96, -4.54, -4.54, -6.70, -7.62, -7.62, 4124.61825, 00212.86645, 4.3, 1
2020-10-09, 13:09:03, 436000000, 436050000, 6250.00, 329840, -5.85, 1.33, -5.32, -6.49, -2.32, -2.32, -4.64, -6.63, -6.63, 4124.61672, 00212.85704, 4.2, 1
2020-10-09, 13:09:04, 436000000, 436050000, 6250.00, 324520, -5.96, 1.43, -5.33, -6.81, -3.36, -3.36, -5.25, -6.62, -6.62, 4124.61507, 00212.84689, 4.2, 1
